,repository_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple_rules_lint,Starlark
7,ARKitScenes,Python
8,AudioUnit-Examples,Swift
9,AudioUnitSDK,C++
10,axlearn,Python
11,batch-processing-gateway,Java
12,ccs-caldavclientlibrary,HTML
13,ccs-caldavtester,Python
14,ccs-calendarserver,Python
15,ccs-pycalendar,Python
16,ccs-pykerberos,C
17,ccs-pyopendirectory,C++
18,ccs-pyosxframeworks,Python
19,ccs-pysecuretransport,Python
20,ccs-twistedextensions,Python
21,container,Swift
22,container-builder-shim,Go
23,containerization,Swift
24,coremltools,Python
25,corenet,Jupyter Notebook
26,cups,C
27,darwin-libplatform,C
28,darwin-libpthread,C
29,darwin-xnu,C
30,device-management,
31,dmel,Python
32,dmel-demo,HTML
33,dnikit,Python
34,eidas,Go
35,embedding-atlas,TypeScript
36,example-package-fisheryates,Swift
37,FHIRModels,Swift
38,foundationdb,C++
39,fstools,C
40,game-center-tools,Python
41,GCGC,Jupyter Notebook
42,homebrew-apple,Ruby
43,HomeKitADK,C
44,learning-compressible-subspaces,Python
45,learning-subspaces,Python
46,llvm-monorepo-root,
47,llvm-project-v5,C++
48,llvm-project-v5-split,C++
49,mapkit-loader,TypeScript
50,ml-4m,Python
51,ml-acn-embed,Python
52,ml-act,Python
53,ml-ademamix,Python
54,ml-afv,Python
55,ml-agent-evaluator,Jupyter Notebook
56,ml-agm,Python
57,ml-aim,Python
58,ml-all-pairs,Python
59,ml-ane-transformers,Python
60,ml-aspanformer,Python
61,ml-aspera,Python
62,ml-atoken,Jupyter Notebook
63,ml-aura,Python
64,ml-autofocusformer,Python
65,ml-autofocusformer-segmentation,Python
66,ml-batchquant,Python
67,ml-behavioral-testing-for-mt,
68,ml-bilevel-train-dist,Python
69,ml-bloop,Python
70,ml-calibration,Jupyter Notebook
71,ml-capsules-inverted-attention-routing,Python
72,ml-cifar-10-faster,Python
73,ml-clara,Python
74,ml-code-switched-speech-translation,Python
75,ml-codeswitching-translations,
76,ml-collegial-ensembles,Python
77,ml-comotion,Python
78,ml-compress-and-compare,Python
79,ml-core,Python
80,ml-covid-mobility,R
81,ml-cread,Python
82,ml-cross-entropy,Python
83,ml-cubifyanything,Python
84,ml-cvnets,Python
85,ml-cvpr2019-swd,Python
86,ml-dab,Python
87,ml-data-parameters,Python
88,ml-dataset-decomposition,Python
89,ml-delphi,
90,ml-depth-pro,Python
91,ml-destseg,Python
92,ml-diffucoder,Python
93,ml-diffusion-alignment-gflownet,Python
94,ml-direct2.5,Python
95,ml-divide-or-conquer,Python
96,ml-dms-dataset,Python
97,ml-dprecs,Jupyter Notebook
98,ml-dr,Python
99,ml-duet,Python
100,ml-egodex,Python
101,ml-encqa,Python
102,ml-entity-deduction-arena,Python
103,ml-entropy-reconstruction,Python
104,ml-envmapnet,Python
105,ml-epicache,Python
106,ml-equivariant-neural-rendering,Jupyter Notebook
107,ml-facelit,Python
108,ml-famae,Python
109,ml-fastvit,Python
110,ml-fastvlm,Python
111,ml-fct,Python
112,ml-ferret,Python
113,ml-finerecon,Python
114,ml-flair,Jupyter Notebook
115,ml-flextok,Jupyter Notebook
116,ml-fs-dfm,Python
117,ml-gaudi,
118,ml-gbc,Python
119,ml-gendered-translation,Ruby
120,ml-gie-bench,Python
121,ml-gmpi,Python
122,ml-gsm-symbolic,
123,ml-gsn,Python
124,ml-hd-gist,Python
125,ml-heart-rate-models,Python
126,ml-hierarchical-confusion-matrix,TypeScript
127,ml-hilbert,Python
128,ml-hugs,Python
129,ml-hypercloning,Python
130,ml-hypersim,Python
131,ml-icr2,Python
132,ml-inrflow,Python
133,ml-interactive-data-augmentation,Svelte
134,ml-internal-llms-instruction-following,Python
135,ml-interspeech2022-phi_rtn,
136,ml-isqoe,Python
137,ml-jointnet,Python
138,ml-key-retrieval-code-tasks,Python
139,ml-keyframer,JavaScript
140,ml-kg-mt,Python
141,ml-kge,Python
142,ml-knowledge-conflicts,Python
143,ml-kpconvx,Python
144,ml-l3m,Python
145,ml-lineas,Python
146,ml-live-pose,
147,ml-llarp,Python
148,ml-loop,Python
149,ml-lucid-datagen,Python
150,ml-mad-bench,Jupyter Notebook
151,ml-matrix3d,Python
152,ml-mcf,Python
153,ml-mcp-repo-level-coding,Python
154,ml-mdm,Python
155,ml-mebp,Swift
156,ml-mgie,Python
157,ml-mia-bench,Jupyter Notebook
158,ml-MixupMP,Python
159,ml-mkqa,Python
160,ml-mobileclip,Python
161,ml-mobileclip-dr,Python
162,ml-mobileone,Swift
163,ml-mofi,Python
164,ml-multiple-futures-prediction,Python
165,ml-mycelium,JavaScript
166,ml-ncg,Python
167,ml-negative-sampling,Python
168,ml-neilf,Python
169,ml-neilfpp,Python
170,ml-neuman,Python
171,ml-no-token-left-behind,Jupyter Notebook
172,ml-np-rasp,Python
173,ml-nvas3d,Python
174,ml-ogen,Python
175,ml-omni-router-moe-asr,Python
176,ml-pararnn,Python
177,ml-persona-red-teaming,Python
178,ml-pfl4asr,Python
179,ml-pgdvs,Python
180,ml-planner,Python
181,ml-pointconvformer,Python
182,ml-pointersect,Python
183,ml-policy-projector,Python
184,ml-ppg-age-analysis,Python
185,ml-predict,Python
186,ml-primex,
187,ml-probabilistic-attention,Python
